aAcc,mIoU,mAcc,data_time,time,step
60.67,15.75,22.7,0.1937395225871693,1.436263084411621,400.0
71.79,31.02,37.06,0.009400705496470133,0.30707691113154095,800.0
68.6,23.4,29.28,0.007874627908070883,0.37975992759068805,1200.0
75.92,38.54,45.43,0.008708000183105469,0.4311385949452718,1600.0
74.31,35.8,41.41,0.008539636929829916,0.36650290091832477,2000.0
74.33,30.09,35.61,0.00909129778544108,0.3706575433413188,2400.0
82.07,44.44,49.77,0.007929662863413492,0.36332106590270996,2800.0
