lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,iter,memory,step
0.009998886215193948,0.009033203125,0.14633153875668845,0.10349527994791667,37.4481201171875,0.04283625694612662,32.8399658203125,1.3151248693466187,6.0,3615.0,6.0
0.00997794446709763,0.010203337669372559,0.06851423904299736,0.04716180674731731,80.2490234375,0.021352432016283274,85.052490234375,0.46696484088897705,100.0,3615.0,100.0
0.009955660594668054,0.009833264350891113,0.07016806304454803,0.04771902989596129,77.7130126953125,0.022449032962322236,66.95556640625,0.5396828651428223,200.0,3615.0,200.0
0.009933371122565919,0.010020136833190918,0.057298845052719115,0.040278551168739796,80.3009033203125,0.01702029388397932,79.2999267578125,0.39060330390930176,300.0,3615.0,300.0
0.009911076035273796,0.009933686256408692,0.06631477363407612,0.047321477346122263,85.028076171875,0.018993296567350625,81.18896484375,0.44489541053771975,400.0,3615.0,400.0
0.0098887753171919,0.010343360900878906,0.051502205058932306,0.036398485861718656,77.3284912109375,0.015103718079626561,80.9326171875,0.5103682041168213,500.0,3615.0,500.0
0.009866468952637547,0.010493826866149903,0.053197722882032394,0.03826465625315904,79.4189453125,0.01493306728079915,84.6099853515625,0.6945502996444702,600.0,3615.0,600.0
0.009844156925844432,0.009825348854064941,0.04409291036427021,0.03160884045064449,91.2750244140625,0.0124840690754354,88.8763427734375,0.5798939228057861,700.0,3615.0,700.0
0.009821839220962003,0.009234094619750976,0.04124662913382053,0.028477550856769084,84.6435546875,0.012769077951088548,81.475830078125,0.8229719877243042,800.0,3615.0,800.0
0.009799515822054777,0.010468435287475587,0.04004092924296856,0.02796127051115036,81.353759765625,0.012079658778384328,82.1624755859375,0.4889859437942505,900.0,3615.0,900.0
0.00977718671310168,0.009719777107238769,0.04401820469647646,0.030596820637583733,76.7242431640625,0.013421383360400796,70.93505859375,0.658965015411377,1000.0,3615.0,1000.0
0.009754851877995354,0.008878636360168456,0.03780560437589884,0.026180794462561607,91.1712646484375,0.011624809261411429,90.5731201171875,0.8150970220565796,1100.0,3615.0,1100.0
0.009732511300541468,0.010098075866699219,0.04811080917716026,0.03363367132842541,88.29345703125,0.0144771384075284,87.3046875,0.8951212644577027,1200.0,3615.0,1200.0
0.009710164964458045,0.010033130645751953,0.03786816392093897,0.026676148921251298,72.808837890625,0.011192014813423157,72.210693359375,0.4333908796310425,1300.0,3615.0,1300.0
0.009687812853374727,0.010551190376281739,0.040983805619180205,0.029202287644147874,72.4365234375,0.01178151797503233,74.1851806640625,0.7339151620864868,1400.0,3615.0,1400.0
0.009665454950832103,0.0098677396774292,0.05084416065365076,0.03607049398124218,71.3470458984375,0.014773666253313422,72.2503662109375,0.3536754846572876,1500.0,3615.0,1500.0
0.009643091240280942,0.010079908370971679,0.04139920212328434,0.028752470202744008,86.2579345703125,0.01264673164114356,85.736083984375,0.6276656150817871,1600.0,3615.0,1600.0
0.009620721705081534,0.01112194061279297,0.04518726766109467,0.031990102306008336,72.8759765625,0.013197164377197623,72.9400634765625,0.6156626462936401,1700.0,3615.0,1700.0
0.009598346328502901,0.010246753692626953,0.03912748619914055,0.027740754932165147,86.3677978515625,0.011386731034144759,87.0086669921875,0.5576889514923096,1800.0,3615.0,1800.0
0.009575965093722064,0.008964991569519043,0.03621963951736688,0.026312990859150887,85.968017578125,0.009906648891046643,87.3779296875,0.5782743453979492,1900.0,3615.0,1900.0
0.009553577983823325,0.009197187423706055,0.03640904817730188,0.02544320225715637,82.0709228515625,0.010965845547616482,79.4036865234375,0.565569543838501,2000.0,3615.0,2000.0
0.0095311849817975,0.011098599433898926,0.03801194056868553,0.026419959589838983,79.5989990234375,0.011591980373486877,81.31103515625,0.5495176076889038,2100.0,3615.0,2100.0
0.009508786070541123,0.009640169143676759,0.03709374647587538,0.026054750382900237,93.9788818359375,0.011038995860144497,94.5159912109375,0.5806944131851196,2200.0,3615.0,2200.0
0.009486381232855704,0.010138940811157227,0.03970672581344843,0.028131441678851843,85.186767578125,0.011575284181162715,86.865234375,0.5762125730514527,2300.0,3615.0,2300.0
0.009463970451446941,0.009928202629089356,0.03255121093243361,0.023035550117492677,88.665771484375,0.009515660675242543,90.3717041015625,0.5658998250961303,2400.0,3615.0,2400.0
0.009441553708923918,0.00911850929260254,0.04313473347574472,0.030603123642504216,82.4127197265625,0.012531610298901796,82.421875,0.5713855743408203,2500.0,3615.0,2500.0
0.009419130987798348,0.009728264808654786,0.040887114405632016,0.028619663324207067,89.0716552734375,0.012267450476065278,89.73388671875,0.5780466079711915,2600.0,3615.0,2600.0
0.009396702270483696,0.010053467750549317,0.03409168589860201,0.0243679104372859,87.2528076171875,0.009723775321617723,87.1002197265625,0.5757954359054566,2700.0,3615.0,2700.0
0.009374267539294417,0.010390210151672363,0.034563648514449596,0.02379603311419487,74.1912841796875,0.010767614934593439,74.859619140625,0.5662546873092651,2800.0,3615.0,2800.0
0.00935182677644513,0.010967731475830078,0.0430414866656065,0.03080065958201885,82.0281982421875,0.012240827037021517,81.48193359375,0.5890543222427368,2900.0,3615.0,2900.0
